Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Jesus Sat Down and Said,"Bessiere, Gerard",,,,Tales of Heaven and Earth,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Johann Gutenberg and the Printing Press,"Olson, Kay Melchisedech",,"Smith, Tod G.",,Graphic Library,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Joseph (BW),"Wildsmith, Brian",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Joseph and His Coat of Many Colors,"Kassirer, Sue",,"Jarecka, Danuta",,Ready-to-Read,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Joseph and His Magnificent Coat of Many Colors,"Williams, Marcia",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Journeys with Elijah: Eight Tales of the Prophet,"Goldin, Barbara Diamond",,"Pinkney, Jerry",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Judaism (MAM),"Morrison, Martha A.","Brown, Stephen F.",,,World Religions,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
King Solomon and the Queen of Sheba,"Greenberg, Blu","Tarry, Linda","Katz, Avi",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Laura Ingalls Wilder Country: The People and Places in Laura Ingalls Wilder's Life and Books,"Anderson, William",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Let My People Go: Bible Stories Told by a Freeman of Color to his Daughter, Charlotte in Charleston, South Carolina","McKissack, Pat","McKissack Jr., Fredrick L.","Ransome, James E.",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Let's Chat About the Bible,"Whiting, Karen H.",,"Reeves, Eira",,Kingdom Kids,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Love is...,"Halperin, Wendy Anderson",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Mary: The Mother of Jesus,"DePaola, Tomie",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Mary's First Christmas,"Wangerin Jr., Walter",,"Ladwig, Timothy",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Mary's Story,"Boss, Sarah",,"Cann, Helen",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Millennium Prophecies,"Innes, Brian",,,,Unsolved Mysteries,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Miriam's Cup: A Passover Story,"Manushkin, Fran",,"Dacey, Bob",,Scholastic Bookshelf,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Mission Trip Impossible,"Thaler, Mike",,"Lee, Jared",,Tales from the Back Pew,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Moses in Egypt,"Kessler, Brad",,"Huling, Phil",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Moses in the Bulrushes,"Hutton, Warwick",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Moses: The Long Road to Freedom,"Beneduce, Ann Keay",,"Spirin, Gennady",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
My Christian Faith,"Seaman, Alison",,,,My Faith,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
My First Bible in Pictures,"Taylor, Kenneth Nathaniel",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
My One Hundred Adventures,"Horvath, Polly",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah and the Flood,"Brenner, Barbara",,"Mitra, Annie",,Bank Street Ready-to-Read,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah's Ark (JP),"Pinkney, Jerry",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah's Ark (JW),"Wilkon, Józef","Wilkon, Piotr",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah's Ark (PS),"Spier, Peter",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah's Ark: A Story from the Bible,"Hayward, Linda",,"Wright, Freire",,Step into Reading,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Noah's Ark: Words from the Book of Genesis,Anonymous,,"Ray, Jane",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Parables: Stories Jesus Told,"Hoffman, Mary",,"Morris, Jackie",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Pharaoh's Daughter: A Novel of Ancient Egypt,"Lester, Julius",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Poisonous, Smelly, and Amazing Plants",Zonderkidz.com,,,,Made by God,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Psalm Twenty-Three,"Ladwig, Tim",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Psalms and Proverbs,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Quotations for Kids,"Senn, J. A.",,"Pica, Steve",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Read with Me Bible: An NIV Story Bible for Children,Anonymous,,"Jones, Dennis",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Ruth and Naomi: A Bible Story,"Marzollo, Jean",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Sarah, Who Loved Laughter","Quere, France","Marsh, Gwen","Duntze, Dorothee",,Tales of Heaven and Earth,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Silent Christmas,"Goffin, Josse",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Spirits and Sorcerers,"Ross, Stewart",,"Phillipps, Francis",,The Best Tales Ever Told,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Stitching the Stars: The Story Quilts of Harriet Powers,"Lyons, Mary E.",,,,African-American Artists and Artisans,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Stories of Jesus,"Lane, Leena","Bishop, Roma",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Tennyson,"Blume, Lesley M. M.",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Thanksgiving Poems,"Livingston, Myra Cohn",,"Gammell, Stephen",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Backyard Bird Feeder's Bible: The A-Z Guide to Feeders, Seed Mixes, Projects, and Treats","Roth, Sally",,,,Rodale Organic Gardening Book,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Beginner's Bible: Timeless Bible Stories,Anonymous,,"Pulley, Kelly",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Bible for Young Children,"Delval, Marie-Hélène",,"Götting, Jean-Claude",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Bible Story,"Maxwell, Arthur",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Bible Story for Boys and Girls,"Bowie, Walter Russell",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Children's Bible,"Tagholm, Sally","Mills, Andrea","de Narváez, Julián",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Children's Christmas Pageant,"Frank, Marjorie",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Children's Illustrated Bible,"Hastings, Selina",,"Thomas, Eric",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Christmas Story,"Chorao, Kay",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Christmas Story: According to the Gospels of Matthew and Luke from the King James Bible,Anonymous,,"Spirin, Gennady",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Creation,"Johnson, James Weldon",,"Ransome, James E.",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Cupcake Bible: More Than 150 Recipes for Fun and Delicious Cupcakes,Publications International Ltd.,,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Dictionary of Cultural Literacy,"Hirsh, Eric Donald","Kett, Joseph F.; Trefil, James",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Easter Story,"Wildsmith, Brian",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Easter Story: According to the Gospels of Matthew, Luke, and John from the King James Bible",Anonymous,,"Spirin, Gennady",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Flower of Sheba,"Orgel, Doris","Schecter, Ellen","Kelly, Laura",,Bank Street Ready-to-Read,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The History Puzzle: How We Know What We Know About the Past,"Beller, Susan Provost",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Holy Bible (King James Version),Anonymous,The Gideon's International,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Holy Bible: Revised Standard Version Containing the Old and New Testaments, with the Apocrypha/Deuterocanonical Books",Anonymous,,,,Fontana Religious,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Illustrated Jewish Bible for Children,"Hastings, Selina",,"Thomas, Eric; Burch, Amy",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The International Children's Devotional Bible,"Morgan, Robert J.",,"Carabetta, Natalie",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Lion Children's Bible: Stories from the Old and New Testaments,"Alexander, Pat","Evans, Lyndon",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Miracles of Jesus,"DePaola, Tomie",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Morning of the World,"Hartman, Bob",,"McGuire, Michael",,What Was It Like? Bible Stories,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Nativity: Mary Remembers,"Knowlton, Laurie","Kubiak, Kasi",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Origami Artist's Bible,"Wood, Ashley",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Parable of the Lily,"Higgs, Liz Curtis",,"Munger, Nancy",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Parables of Jesus,"DePaola, Tomie",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Pine Tree Parable,"Higgs, Liz Curtis",,"Munger, Nancy",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Prince of Egypt,"Yolen, Jane",,"Koelsch, Michael",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Quilter's Block Bible,"Eddy, Celia",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Random House Book of Bible Stories,"Osborne, Mary Pope","Boyce, Natalie Pope","Welply, Michael",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Road to Bethlehem: An Ethiopian Nativity,"Laird, Elizabeth",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Seven Days of Creation,"Fisher, Leonard Everett",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Stable Where Jesus Was Born,"Greene, Rhonda Gowler",,"Gaber, Susan",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Baby Moses,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas (PF),"Fehlner, Paul",,,,A Golden Look-Look Book,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas (VF),"French, Vivian",,"Chapman, Jane",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas: Words from the Gospels of Matthew and Luke,"Ray, Jane",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Creation,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Daniel and the Lions,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Exodus,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jesus and His Disciples,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Job,"Brodsky, Beverly",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jonah (AJD),"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jonah (JB),"Bragg, Juliana",,"Martin, Charles E.",,A Golden Look-Look Book,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Noah,"Davidson, Alice Joyce",,"Marshall, Victoria",,Alice in Bibleland,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
